driverId,surname,consistency_score,race_count,points_total,points_avg,avg_position,avg_positions_gained,qual_position_mean,qual_position_std,q3_appearances,std,mean,specialization_score,team_norm_points_mean,team_norm_points_std,performance_trend,years_active,overall_score
857,Piastri,0.3749526684123816,46,347.0,7.543478260869565,7.116279069767442,0.06976744186046512,7.543478260869565,4.856640456296836,0,4.511609420729746,7.5625,0.5965764523279004,-1.9673913043478262,4.4862780588429905,183.00000000003268,2.0,1.3642982203403382
34,Ide,0.561373415244687,4,0.0,0.0,13.0,9.0,21.75,0.49999999999999967,0,0.0,,0.0,0.0,0.0,0.0,1.0,1.2160212085399384
830,Verstappen,0.24404607637073197,209,2912.5,13.935406698564593,3.547486033519553,1.3463687150837989,4.7272727272727275,4.264936730443409,0,5.294220048342576,14.760379464285714,0.358677773911741,2.8169856459330145,5.440372672188272,43.100000000001316,10.0,0.7899781254520793
860,Bearman,0.5948826971545358,3,7.0,2.3333333333333335,9.666666666666666,2.3333333333333335,13.0,3.4641016151377544,0,3.2145502536643185,2.3333333333333335,1.377664394427565,-1.5,3.0413812651491097,0.0,1.0,0.7792587652891063
810,di Grassi,0.36409434442800426,19,0.0,0.0,17.6,4.4,22.105263157894736,0.9941348467724335,0,0.0,,0.0,0.0,0.0,0.0,1.0,0.5613595829277204
39,Karthikeyan,0.23847833946394056,48,5.0,0.10416666666666667,17.181818181818183,3.0303030303030303,20.80851063829787,3.633409572960963,0,1.0,0.2,5.0,-0.020833333333333332,0.10097046826172942,-0.7558139534884232,3.0,0.5251054415925795
1,Hamilton,0.23056003558678936,356,4820.5,13.540730337078651,3.644171779141104,0.6441717791411042,4.073033707865169,4.2320378082110945,0,4.784885269683062,13.16360457974846,0.36349354317770727,1.1355337078651686,5.29583227006515,11.47110423116611,18.0,0.49359320359136843
846,Norris,0.3199052117849601,128,950.0,7.421875,7.050420168067227,0.01680672268907563,7.21875,4.044900551613221,0,3.2943567339197766,6.8930491551459285,0.47792445110599735,0.9921875,3.689197027094705,48.34285714285669,6.0,0.485937614269407
85,Montermini,0.09607320743662262,28,0.0,0.0,9.75,12.5,21.952380952380953,1.3592715135759486,0,0.0,,0.0,0.0,0.0,0.0,3.0,0.47389542287611197
824,Bianchi,0.27500559100525684,34,2.0,0.058823529411764705,16.571428571428573,2.142857142857143,19.176470588235293,1.9613011796484878,0,0.21821789023599236,0.047619047619047616,4.58257569495584,0.029411764705882353,0.17149858514250882,1.9999999999994225,2.0,0.4681684864577439
816,d'Ambrosio,0.343639729667051,20,0.0,0.0,17.88235294117647,3.6470588235294117,21.8,1.7350868323485926,0,0.0,,0.0,-0.25,1.118033988749895,0.0,2.0,0.45838960047161126
853,Mazepin,0.4884997774336471,22,0.0,0.0,17.8125,0.625,19.59090909090909,0.6661253213344641,0,0.0,,0.0,0.0,0.0,0.0,1.0,0.45558692165163084
858,Sargeant,0.3147097693102193,36,1.0,0.027777777777777776,15.689655172413794,1.4482758620689655,17.38888888888889,3.164786409202526,0,0.2041241452319315,0.041666666666666664,4.898979485566357,-0.3888888888888889,0.829036541596079,-1.0000000000001785,2.0,0.4482165939854733
78,Larini,0.11942428711264759,75,7.0,0.09333333333333334,10.807692307692308,8.538461538461538,11.714285714285714,4.386125310350269,0,0.2881040655200304,0.08695652173913043,3.3131967534803493,-0.04666666666666667,0.5645695163031199,0.3157894736842331,8.0,0.43190170162977887
854,Schumacher,0.33855908607958873,44,12.0,0.2727272727272727,15.052631578947368,0.9210526315789473,16.27906976744186,3.6340033112870413,0,0.6410461535179592,0.17948717948717946,3.5715428553143447,-0.10227272727272728,0.886458497661402,12.000000000006473,2.0,0.4120805990853745
849,Latifi,0.3401902233324454,61,9.0,0.14754098360655737,15.431372549019608,1.4901960784313726,17.885245901639344,2.145525271005819,0,0.5249506569572601,0.15476190476190474,3.3919888603392194,-0.10655737704918032,0.5924156346291052,0.9999999999995297,3.0,0.40331181939529737
847,Russell,0.28475708335569616,128,664.0,5.1875,9.36936936936937,0.3153153153153153,10.328125,5.922211460483081,0,3.205342619896632,4.792972350230415,0.6687588380814549,-0.01953125,3.138158811058675,52.514285714284874,6.0,0.4019923497366238
844,Leclerc,0.24993381700976883,149,1363.0,9.14765100671141,5.484126984126984,0.7222222222222222,6.208053691275167,4.687930402273185,0,3.231499152764157,9.004928315412187,0.35885895362802117,0.8171140939597316,4.272459620624586,32.10714285714183,7.0,0.3845503071074178
83,Lamy,0.08987043899247198,32,1.0,0.03125,10.736842105263158,7.947368421052632,18.333333333333332,2.7007624195879996,0,0.11785113019775792,0.027777777777777776,4.242640687119286,0.015625,0.08838834764831845,0.09999999999999097,4.0,0.3732359822461708
859,Lawson,0.4523206543960861,11,6.0,0.5454545454545454,12.909090909090908,0.5454545454545454,13.363636363636363,4.2017312449210085,0,0.9660917830792959,0.6,1.6101529717988265,-0.09090909090909091,0.8312094145936335,2.0000000000003575,2.0,0.33918711745325764
62,Yoong,0.13566818416816254,16,0.0,0.0,12.166666666666666,8.833333333333334,21.333333333333332,1.1547005383792517,0,0.0,,0.0,-0.0625,0.25,0.0,2.0,0.2993679892295602
59,Bernoldi,0.1760817897853007,29,0.0,0.0,11.444444444444445,8.222222222222221,17.5,2.1213203435596424,0,0.0,,0.0,-0.05172413793103448,0.15496702334730172,0.0,2.0,0.2915038012321801
48,Gené,0.08661252771521474,36,5.0,0.1388888888888889,11.347826086956522,7.478260869565218,17.0,6.146362971528592,0,0.33819977079726155,0.10784313725490195,3.13603423830188,-0.1111111111111111,0.479748611419283,0.20588235294123336,4.0,0.2748041861293622
